source,target,relationship
linear-regression,gradient-descent,prerequisite
linear-regression,neural-networks,prerequisite
gradient-descent,neural-networks,prerequisite
linear-regression,principal-components,prerequisite
neural-networks,transformer-attention,prerequisite
transformer-attention,retrieval-augmented-generation,prerequisite
linear-regression,logistic-regression,prerequisite
neural-networks,backpropagation,prerequisite
gradient-descent,adam-optimizer,prerequisite
neural-networks,recurrent-neural-networks,prerequisite
transformer-attention,transformer-architecture,prerequisite
positional-encodings,transformer-architecture,prerequisite
transformer-architecture,machine-translation,prerequisite
text-normalization,text-tokenization,prerequisite
text-normalization,stemming-lemmatization,prerequisite
text-tokenization,byte-pair-encoding,prerequisite
text-tokenization,ngram-language-models,prerequisite
text-tokenization,word-embeddings,prerequisite
word-embeddings,word2vec,prerequisite
decision-trees,random-forests,prerequisite
decision-trees,boosting,prerequisite
